Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012_HandSolder_kawaii",143.002000,-77.702500,-90.000000,top
"C2","100n","C_0805_2012_HandSolder_kawaii",144.526000,-62.716500,-90.000000,top
"C3","100n","C_0805_2012_HandSolder_kawaii",167.894000,-81.258500,-90.000000,top
"C4","100n","C_0805_2012_HandSolder_kawaii",171.704000,-66.315500,-90.000000,top
"C5","100n","C_0805_2012_HandSolder_kawaii",119.634000,-83.036500,90.000000,top
"C6","100n","C_0805_2012_HandSolder_kawaii",119.380000,-64.791500,90.000000,top
"C7","100n","C_0805_2012_HandSolder_kawaii",124.968000,-74.189500,90.000000,top
"C8","100p","C_0805_2012_HandSolder_kawaii",129.032000,-74.189500,-90.000000,top
"C9","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.032000,-65.807500,-90.000000,top
"C10","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.247500,-56.642000,180.000000,top
"C11","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.247500,-65.532000,180.000000,top
"C12","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.247500,-74.230000,180.000000,top
"C13","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.247500,-83.058000,180.000000,top
"C14","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.247500,-91.694000,180.000000,top
"D1","V+","LED_0805_2012_Kawaii",115.824000,-83.067000,-90.000000,top
"D2","V-","LED_0805_2012_Kawaii",115.570000,-64.779000,-90.000000,top
"D3","Audio Out","LED_0805_2012_Kawaii",186.690000,-91.195000,90.000000,top
"D4","cv1","LED_0805_2012_Kawaii",184.658000,-56.143000,-90.000000,top
"D5","Audio Out","LED_0805_2012_Kawaii",184.150000,-91.177000,-90.000000,top
"D6","cv1","LED_0805_2012_Kawaii",182.372000,-56.143000,90.000000,top
"D7","1N4148","D_MiniMELF_kawaii",147.320000,-82.871000,90.000000,top
"D8","1N4148","D_MiniMELF_kawaii",156.210000,-52.070000,90.000000,top
"D9","1N4148","D_MiniMELF_kawaii",156.210000,-60.960000,90.000000,top
"D10","1N4148","D_MiniMELF_kawaii",156.210000,-69.725000,90.000000,top
"D11","1N4148","D_MiniMELF_kawaii",156.210000,-78.615000,90.000000,top
"D12","1N4148","D_MiniMELF_kawaii",156.210000,-87.505000,90.000000,top
"D13","1N4148","D_MiniMELF_kawaii",156.210000,-95.825000,90.000000,top
"D14","1N4148","D_MiniMELF_kawaii",165.038000,-67.818000,180.000000,top
"D15","1N4148","D_MiniMELF_kawaii",165.100000,-64.770000,0.000000,top
"D16","cv2","LED_0805_2012_Kawaii",189.992000,-56.143000,90.000000,top
"D17","cv2","LED_0805_2012_Kawaii",187.706000,-56.134000,-90.000000,top
"FB1","FerriteBead","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",124.968000,-81.400000,-90.000000,top
"FB2","FerriteBead","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",124.968000,-65.906000,-90.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.094000,-87.884000,0.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.856000,-59.690000,0.000000,top
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",192.024000,-89.900000,-90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.023000,-61.706000,90.000000,top
"R5","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.573000,-77.581000,90.000000,top
"R6","27k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.054000,-81.248000,-90.000000,top
"R7","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.144000,-74.184000,90.000000,top
"R8","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.304000,-77.740000,90.000000,top
"R9","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.144000,-81.296000,-90.000000,top
"R10","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.606000,-77.708000,-90.000000,top
"R11","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.544000,-87.614000,90.000000,top
"R12","14k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.130000,-66.056000,-90.000000,top
"R13","68k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.032000,-81.296000,90.000000,top
"R14","68k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.588000,-81.296000,90.000000,top
"R15","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.256000,-83.074000,90.000000,top
"R16","27k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.954000,-83.074000,90.000000,top
"R17","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.970000,-62.754000,-90.000000,top
"R18","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.588000,-74.184000,90.000000,top
"R19","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.588000,-65.802000,90.000000,top
"R20","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.890000,-65.802000,-90.000000,top
"R21","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.338000,-81.264000,-90.000000,top
"R22","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.450000,-81.296000,-90.000000,top
"R23","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",174.752000,-81.248000,90.000000,top
"R24","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.022000,-66.278000,90.000000,top
"R25","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.068000,-72.501000,90.000000,top
"R26","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.086000,-66.310000,-90.000000,top
"R27","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.944000,-61.706000,90.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",143.764000,-70.039000,90.000000,top
"U2","TL074","SOIC-14_3.9x8.7mm_P1.27mm",170.434000,-74.103000,90.000000,top
