"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D14,D13,D15,D8,D10,D12,D7,D11,D9";"D_MiniMELF_kawaii";9;"1N4148";;;
2;"R16,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"27k";;;
3;"C2,C4,C3,C1,C7,C5,C6";"C_0805_2012_HandSolder_kawaii";7;"100n";;;
4;"D5,D3";"LED_0805_2012_Kawaii";2;"Audio Out";;;
5;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TL074";;;
6;"R22,R7,R9,R19,R20,R18,R17,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"33k";;;
7;"J6";"synth-signal-MPT-1x10_P2.54mm_Horizontal_1";1;"synth-signal-header-10way";;;
8;"PT1,PT3,PT4,PT2";"Potentiometer_Alpha-reversable";4;"100k";;;
9;"C13,C14,C10,C11,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"1n";;;
10;"R26,R3,R1,R27,R4,R24,R21,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"1k";;;
11;"R23,R11,R15,R25,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100k";;;
12;"D6,D4";"LED_0805_2012_Kawaii";2;"cv1";;;
13;"D2";"LED_0805_2012_Kawaii";1;"V-";;;
14;"C8";"C_0805_2012_HandSolder_kawaii";1;"100p";;;
15;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k";;;
16;"M1";"credit-card-screws";1;"imogen-wren-card";;;
17;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"68k";;;
18;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"14k";;;
19;"J1";"synth-power-termbox-MPT-0,5-4-2.54_1x04_P2.54mm";1;"power";;;
20;"D17,D16";"LED_0805_2012_Kawaii";2;"cv2";;;
21;"PT7,PT6";"Potentiometer_Bourns-reversable-1";2;"100k-trim";;;
22;"FB1,FB2";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"FerriteBead";;;
23;"D1";"LED_0805_2012_Kawaii";1;"V+";;;
24;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TL074";;;
25;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
