Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",C_0805_2012_HandSolder_kawaii,7,100n,
"C10, C11, C12, C13, C14",0805,5,1n,
C8,C_0805_2012_HandSolder_kawaii,1,100p,
C9,0805,1,1u,
D1,LED_0805_2012_Kawaii,1,V+,
"D10, D11, D12, D13, D14, D15, D7, D8, D9",D_MiniMELF_kawaii,9,1N4148,
"D16, D17",LED_0805_2012_Kawaii,2,cv2,
D2,LED_0805_2012_Kawaii,1,V-,
"D3, D5",LED_0805_2012_Kawaii,2,Audio Out,
"D4, D6",LED_0805_2012_Kawaii,2,cv1,
"FB1, FB2",0805,2,FerriteBead,
J1,"synth-power-termbox-MPT-0,5-4-2.54_1x04_P2.54mm",1,power,
J6,synth-signal-MPT-1x10_P2.54mm_Horizontal_1,1,synth-signal-header-10way,
M1,credit-card-screws,1,imogen-wren-card,
"PT1, PT2, PT3, PT4",Potentiometer_Alpha-reversable,4,100k,
"PT6, PT7",Potentiometer_Bourns-reversable-1,2,100k-trim,
"R1, R2, R21, R24, R26, R27, R3, R4",0805,8,1k,
R10,0805,1,2k,
"R11, R15, R23, R25, R5",0805,5,100k,
R12,0805,1,14k,
"R13, R14",0805,2,68k,
"R16, R6",0805,2,27k,
"R17, R18, R19, R20, R22, R7, R8, R9",0805,8,33k,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,TL074,
